cat,area,perimeter,compact,opt_blue_min,opt_blue_max,opt_blue_range,opt_blue_mean,opt_blue_stddev,opt_blue_sum,opt_blue_median,opt_green_min,opt_green_max,opt_green_range,opt_green_mean,opt_green_stddev,opt_green_sum,opt_green_median,opt_nir_min,opt_nir_max,opt_nir_range,opt_nir_mean,opt_nir_stddev,opt_nir_sum,opt_nir_median,opt_red_min,opt_red_max,opt_red_range,opt_red_mean,opt_red_stddev,opt_red_sum,opt_red_median,NDVI_min,NDVI_max,NDVI_range,NDVI_mean,NDVI_stddev,NDVI_sum,NDVI_median,Brightness_min,Brightness_max,Brightness_range,Brightness_mean,Brightness_stddev,Brightness_sum,Brightness_median,nDSM_min,nDSM_max,nDSM_range,nDSM_mean,nDSM_stddev,nDSM_sum,nDSM_median
16419829.0,90.5,69.0,2.04606708582,210.0,351.0,141.0,248.477900552,15.0357146832,89949.0,250.0,261.0,507.0,246.0,328.814917127,28.1967534399,119031.0,331.0,594.0,1271.0,677.0,963.958563536,131.25524855,348953.0,990.0,172.0,563.0,391.0,277.331491713,41.3176691229,100394.0,278.0,0.386041432619,0.680594265461,0.294552832842,0.551618859419,0.0454507308082,199.68602711,0.549506,649.0,1421.0,772.0,854.624309392,82.8498759836,309374.0,860.0,0.0062255859375,2.48541259766,2.47918701172,1.03854951806,0.689464889798,375.954925537,1.42503
16373059.0,90.25,59.0,1.75195712786,294.0,396.0,102.0,323.418282548,10.1175691702,116754.0,323.0,444.0,643.0,199.0,507.601108033,21.1006399686,183244.0,508.0,304.0,553.0,249.0,375.509695291,32.6327765513,135559.0,369.0,450.0,735.0,285.0,527.736842105,30.9317898491,190513.0,527.0,-0.26293104887,-0.0637450218201,0.19918602705,-0.169144453785,0.0446883253196,-61.0611478165,-0.175966,1188.0,1774.0,586.0,1358.75623269,59.391479016,490511.0,1356.0,-0.0750122070312,1.16198730469,1.23699951172,0.157242624383,0.290265329624,56.7645874023,0.0
16342979.0,456.749999999,293.0,3.86743844706,253.0,438.0,185.0,367.385878489,20.4926322839,671214.0,371.0,380.0,708.0,328.0,578.715380405,37.0693664612,1057313.0,584.0,704.0,1193.0,489.0,1024.348659,56.3599003833,1871485.0,1025.0,422.0,944.0,522.0,811.731253421,54.8220739756,1483033.0,818.0,0.056994818151,0.250444054604,0.193449236453,0.116185907758,0.0226754644057,212.271653473,0.113696,1055.0,1986.0,931.0,1757.83251232,105.437620499,3211560.0,1776.0,-0.0532836914062,0.655334472656,0.708618164062,0.0179402769493,0.0680158785466,32.7768859863,0.0
16365885.0,2245.25000001,1140.0,6.78683931225,229.0,362.0,133.0,278.216679657,11.528687134,2498664.0,277.0,321.0,544.0,223.0,393.706157443,21.2817263166,3535875.0,391.0,668.0,1207.0,539.0,820.302304866,54.9137415544,7367135.0,811.0,278.0,664.0,386.0,413.479902015,33.7672819615,3713463.0,411.0,0.214637577534,0.510563373566,0.295925796032,0.329755063725,0.0354258475475,2961.53022732,0.328616,845.0,1558.0,713.0,1085.40273912,64.8687868129,9748002.0,1079.0,-0.0508117675781,1.33197021484,1.38278198242,0.112935739774,0.175446566417,1014.27587891,0.0289612
16330413.0,6.0,15.0,1.72747074736,220.0,307.0,87.0,277.25,23.2096423928,6654.0,282.0,292.0,425.0,133.0,361.791666667,38.0996272583,8683.0,359.0,330.0,630.0,300.0,436.833333333,84.1648514656,10484.0,452.0,199.0,458.0,259.0,298.916666667,80.3917059708,7174.0,304.0,0.12298387289,0.261595547199,0.138611674309,0.195726366714,0.0426313779497,4.69743280113,0.206438,730.0,1190.0,460.0,937.958333333,133.240221394,22511.0,934.0,-0.0219116210938,0.0471496582031,0.0690612792969,0.000144958496094,0.0110816782668,0.00347900390625,0.0
16328401.0,5441.25000004,2503.0,9.5720856838,177.0,343.0,166.0,243.224810476,14.8190727192,5293788.0,243.0,192.0,504.0,312.0,332.996186538,30.2341977973,7247662.0,336.0,558.0,1313.0,755.0,998.237399495,92.4691819709,21726637.0,998.0,98.0,549.0,451.0,287.44874799,44.6045843447,6256322.0,291.0,0.363847047091,0.803921580315,0.440074533224,0.553115044242,0.0572884114527,12038.5489379,0.549296,482.0,1396.0,914.0,863.669745003,87.1015583494,18797772.0,872.0,-0.507843017578,2.38186645508,2.88970947266,0.292807701596,0.410959842896,6372.95962524,0.115967
16350899.0,8559.74999999,4554.0,13.8853731065,230.0,487.0,257.0,376.368381086,23.8718801333,12886477.0,378.0,340.0,767.0,427.0,571.809661497,40.532665904,19578191.0,574.0,690.0,1258.0,568.0,1017.77522708,58.168820975,34847606.0,1020.0,354.0,959.0,605.0,769.055813546,60.9132768816,26331702.0,775.0,0.0589519664645,0.355989813805,0.29703784734,0.139939482584,0.0241566424729,4791.3879442,0.134615,933.0,2174.0,1241.0,1717.23385613,120.386016507,58796370.0,1727.0,-0.146118164062,1.44458007812,1.59069824219,0.114618218333,0.139166655013,3924.41317749,0.0744019
16328842.0,6.50000000023,11.0,1.21711348669,377.0,458.0,81.0,407.076923077,21.4761461178,10584.0,405.5,496.0,645.0,149.0,542.230769231,37.9932258054,14098.0,538.0,501.0,785.0,284.0,588.961538462,77.9607794734,15313.0,561.5,496.0,719.0,223.0,551.153846154,58.7148862711,14330.0,531.0,-0.00925925932825,0.0746043697,0.0838636290282,0.0317521974391,0.0226870855367,0.825557133416,0.032764,1384.0,1822.0,438.0,1500.46153846,113.491860355,39012.0,1465.5,-0.0054931640625,0.00234985351562,0.00784301757812,-0.000120896559495,0.00116547526674,-0.00314331054688,0.0
16321090.0,236.499999995,144.0,2.64144752584,272.0,372.0,100.0,312.875264271,13.7604575333,295980.0,313.0,386.0,533.0,147.0,450.391120507,23.3110524062,426070.0,449.0,589.0,839.0,250.0,715.480972516,43.4459660214,676845.0,713.0,495.0,726.0,231.0,588.754756871,39.0594102647,556962.0,584.5,0.0474281907082,0.181102365255,0.133674174547,0.0973074068581,0.0149257638069,92.0528068878,0.0961966,1171.0,1596.0,425.0,1352.02114165,69.41893821,1279012.0,1345.5,-0.067626953125,0.302673339844,0.370300292969,0.0142965175637,0.0525889030382,13.5245056152,0.0
16310693.0,2604.25000001,1502.0,8.30278255661,249.0,376.0,127.0,321.337429202,12.3590990762,3347372.0,321.0,344.0,562.0,218.0,471.47374484,20.8968977811,4911342.0,471.0,639.0,981.0,342.0,815.032254968,40.7849133196,8490191.0,815.0,419.0,779.0,360.0,655.164346741,36.1972514643,6824847.0,657.0,0.0567936748266,0.227513223886,0.17071954906,0.108859888867,0.016214992543,1133.99346233,0.105965,1012.0,1716.0,704.0,1447.97552078,61.0475092301,15083561.0,1450.0,-0.14892578125,1.01443481445,1.1633605957,0.0864119975114,0.146586405816,900.153778076,0.0
16286677.0,3.50000000023,9.0,1.35707407891,194.0,282.0,88.0,244.857142857,27.5340234797,3428.0,253.5,221.0,312.0,91.0,250.0,24.1009780477,3500.0,241.5,615.0,722.0,107.0,662.214285714,26.9342548,9271.0,670.0,131.0,208.0,77.0,177.428571429,22.0542003959,2484.0,182.0,0.533957839012,0.657516360283,0.123558521271,0.578837884324,0.0336605473075,8.10373038054,0.569781,557.0,782.0,225.0,672.285714286,59.9647855846,9412.0,684.5,1.92181396484,2.31448364258,0.392669677734,2.06699480329,0.144345997145,28.9379272461,1.99915
16359374.0,3452.49999963,2140.0,10.2740576363,216.0,776.0,560.0,311.622302679,13.2446044123,4303504.0,312.0,261.0,1126.0,865.0,422.740188269,21.3328162953,5838042.0,423.0,390.0,1292.0,902.0,579.757929037,30.3202503013,8006457.0,578.0,210.0,1555.0,1345.0,467.64974656,34.1830791211,6458243.0,466.0,-0.0923779383302,0.300000011921,0.392377950251,0.107530924364,0.0167108962622,1485.00206546,0.105948,687.0,3457.0,2770.0,1202.01223751,66.4369289423,16599789.0,1200.0,0.206207275391,1.57855224609,1.3723449707,0.762711830885,0.18577626933,10533.0503845,0.739746
16351232.0,192.749999998,113.0,2.29602344355,271.0,439.0,168.0,400.018158236,16.7876701784,308414.0,402.0,391.0,668.0,277.0,599.189364462,27.3931920118,461975.0,603.0,702.0,1063.0,361.0,940.169909209,35.2473700741,724871.0,942.0,404.0,813.0,409.0,720.044098573,37.8910736701,555154.0,724.0,0.109048724174,0.269439429045,0.16039070487,0.132936653064,0.0171811678703,102.494159512,0.128936,1066.0,1914.0,848.0,1719.25162127,78.7851762828,1325543.0,1730.0,-0.0504150390625,0.385162353516,0.435577392578,0.119337148703,0.102438228235,92.0089416504,0.116394
16239195.0,4507.00000001,2444.0,10.2695754626,285.0,461.0,176.0,401.740736632,13.2226714184,7242582.0,402.0,444.0,745.0,301.0,649.15348347,23.1276739125,11702939.0,649.0,810.0,1268.0,458.0,1084.50282893,41.072898156,19551417.0,1085.0,464.0,990.0,526.0,841.523297093,35.1240339353,15170982.0,840.0,0.0862581804395,0.293221622705,0.206963442266,0.126223819003,0.0121120933467,2275.56300899,0.124391,1193.0,2181.0,988.0,1892.4175172,68.0352172718,34116503.0,1892.0,-0.095458984375,1.72494506836,1.82040405273,0.268449582307,0.240560529606,4839.60906982,0.236145
16185790.0,81.5000000065,81.0,2.53105325144,378.0,431.0,53.0,403.803680982,10.3431070647,131640.0,403.0,589.0,670.0,81.0,628.285276074,16.6162450378,204821.0,627.0,938.0,1075.0,137.0,1007.49079755,20.7764520133,328442.0,1005.0,743.0,874.0,131.0,815.960122699,21.700306859,266003.0,815.0,0.0888192281127,0.124708622694,0.0358893945813,0.105104759381,0.00505122086729,34.2641515583,0.104849,1714.0,1975.0,261.0,1848.04907975,45.2638215587,602464.0,1845.0,-0.0910339355469,0.354217529297,0.445251464844,0.0552373780795,0.0889952304926,18.0073852539,3.05176e-05
16203953.0,1980.5,874.0,5.54011879483,222.0,308.0,86.0,251.877556173,12.6084751949,1995374.0,250.0,296.0,472.0,176.0,354.174703358,28.2765364003,2805772.0,349.0,734.0,1205.0,471.0,922.626356981,66.7674051797,7309046.0,914.0,232.0,485.0,253.0,313.273794496,36.9455803523,2481755.0,308.0,0.315384626389,0.616547346115,0.301162719727,0.493684833413,0.0376005359749,3910.9712503,0.49297,765.0,1262.0,497.0,919.326054027,76.1617990978,7282901.0,908.0,-0.103454589844,1.44311523438,1.54656982422,0.219729929372,0.271272840051,1740.70050049,0.131729
16175332.0,139.249999998,108.0,2.58179182643,274.0,393.0,119.0,351.921005386,18.3632078999,196020.0,355.0,407.0,617.0,210.0,531.120287253,34.1121010964,295834.0,537.0,727.0,1127.0,400.0,915.752244165,61.544831344,510074.0,917.0,488.0,854.0,366.0,706.082585278,56.7718385614,393288.0,714.0,0.0827629119158,0.226215645671,0.143452733755,0.129734742698,0.0265428770342,72.2622516826,0.121134,1169.0,1851.0,682.0,1589.12387792,106.234053212,885142.0,1610.0,-0.0661926269531,0.16162109375,0.227813720703,0.00541037759832,0.0222382431907,3.01358032227,0.0
16214164.0,196.000000003,140.0,2.82094791772,279.0,414.0,135.0,376.150510204,13.9984620053,294902.0,377.0,413.0,646.0,233.0,577.343112245,24.6779952074,452637.0,579.0,729.0,1042.0,313.0,950.371173469,37.109239397,745091.0,952.0,475.0,871.0,396.0,763.716836735,35.7258755794,598754.0,767.0,0.078651688993,0.210963457823,0.13231176883,0.109079787926,0.0127699391291,85.5185537338,0.107505,1167.0,1923.0,756.0,1717.21045918,71.3277706086,1346293.0,1723.0,-0.165588378906,0.362457275391,0.528045654297,0.0111951244121,0.0421138270968,8.77697753906,0.0
16168157.0,394.999999994,169.0,2.39874026267,256.0,374.0,118.0,310.152531646,17.5984075782,490041.0,310.0,332.0,555.0,223.0,442.332278481,29.7305042364,698885.0,441.0,635.0,1042.0,407.0,882.484810127,46.0625375354,1394326.0,883.0,310.0,700.0,390.0,503.835443038,49.2181993662,796060.0,503.0,0.196326062083,0.370583415031,0.174257352948,0.274450138032,0.0301103640187,433.631218091,0.272856,926.0,1625.0,699.0,1256.32025316,94.0164742899,1984986.0,1254.0,-0.0601806640625,1.56332397461,1.62350463867,0.111032374901,0.23477330278,175.431152344,0.0202637
16153183.0,38.2500000007,32.0,1.45958478169,194.0,271.0,77.0,241.692810458,12.7547407799,36979.0,243.0,241.0,370.0,129.0,322.019607843,26.3747429658,49269.0,323.0,662.0,1035.0,373.0,901.254901961,72.6032759494,137892.0,916.0,148.0,337.0,189.0,264.339869281,38.3443570507,40444.0,266.0,0.452444434166,0.661448121071,0.209003686905,0.547622049751,0.0449624667239,83.7861736119,0.544715,583.0,978.0,395.0,828.052287582,76.9337029632,126692.0,833.0,0.0023193359375,2.0934753418,2.09115600586,1.00027485766,0.41027499476,153.042053223,1.02576
16182762.0,3939.75000039,2013.0,9.04699834268,237.0,453.0,216.0,306.566533409,10.6509974077,4831182.0,307.0,273.0,603.0,330.0,408.701821182,17.1709579132,6440732.0,408.0,412.0,791.0,379.0,536.385874738,23.6715935806,8452905.0,534.0,185.0,690.0,505.0,430.821625738,26.709120012,6789318.0,429.0,0.0349309518933,0.400881052017,0.365950100124,0.1095752103,0.017286620028,1726.79573913,0.108787,699.0,1746.0,1047.0,1146.08998033,52.4194548972,18061232.0,1144.0,-0.0545654296875,1.24557495117,1.30014038086,0.331243538616,0.177590632266,5220.06692505,0.321838
